,date,bike_rides_daily,avg_temp,season
0,2022-01-01,20780,52.88,winter
1,2022-01-02,43435,52.52,winter
2,2022-01-03,33272,34.52,winter
3,2022-01-04,36791,27.14,winter
4,2022-01-05,34600,37.760002,winter
5,2022-01-06,45515,40.82,winter
6,2022-01-07,17469,33.26,winter
7,2022-01-08,24543,27.5,winter
8,2022-01-09,21716,34.52,winter
9,2022-01-10,34978,34.88,winter
10,2022-01-11,27076,22.279999,winter
11,2022-01-12,41079,28.58,winter
12,2022-01-13,51544,39.2,winter
13,2022-01-14,46490,40.64,winter
14,2022-01-15,23284,19.94,winter
15,2022-01-16,21203,17.6,winter
16,2022-01-17,29715,39.02,winter
17,2022-01-18,43834,35.239998,winter
18,2022-01-19,55228,37.760002,winter
19,2022-01-20,34598,41.18,winter
20,2022-01-21,34288,21.2,winter
21,2022-01-22,32697,21.38,winter
22,2022-01-23,33816,30.74,winter
23,2022-01-24,42451,31.64,winter
24,2022-01-25,51893,38.48,winter
25,2022-01-26,43055,27.86,winter
26,2022-01-27,44867,24.44,winter
27,2022-01-28,35676,32.18,winter
28,2022-01-29,2919,23.36,winter
29,2022-01-30,9672,19.220001,winter
30,2022-01-31,22791,25.880001,winter
31,2022-02-01,29998,28.94,winter
32,2022-02-02,42804,36.14,winter
33,2022-02-03,27143,43.52,winter
34,2022-02-04,20733,42.440002,winter
35,2022-02-05,30406,26.96,winter
36,2022-02-06,29560,23.36,winter
37,2022-02-07,31452,32.9,winter
38,2022-02-08,53158,39.38,winter
39,2022-02-09,57309,37.04,winter
40,2022-02-10,63337,43.34,winter
41,2022-02-11,66207,47.48,winter
42,2022-02-12,70328,53.24,winter
43,2022-02-13,20904,37.04,winter
44,2022-02-14,34976,24.26,winter
45,2022-02-15,41562,23.54,winter
46,2022-02-16,55010,34.88,winter
47,2022-02-17,69029,52.88,winter
48,2022-02-18,48259,49.82,winter
49,2022-02-19,33202,32.18,winter
50,2022-02-20,31944,27.32,winter
51,2022-02-21,53776,39.38,winter
52,2022-02-22,37485,42.08,winter
53,2022-02-23,68060,57.92,winter
54,2022-02-24,45958,33.98,winter
55,2022-02-25,31200,33.44,winter
56,2022-02-26,42564,30.02,winter
57,2022-02-27,43808,36.32,winter
58,2022-02-28,46740,33.44,winter
59,2022-03-01,57500,36.68,winter
60,2022-03-02,68875,45.86,winter
61,2022-03-03,56811,42.08,winter
62,2022-03-04,51135,28.58,winter
63,2022-03-05,52729,37.58,winter
64,2022-03-06,56123,49.28,winter
65,2022-03-07,69617,64.76,winter
66,2022-03-08,63729,47.66,winter
67,2022-03-09,28791,37.760002,winter
68,2022-03-10,67671,39.2,winter
69,2022-03-11,71197,44.96,winter
70,2022-03-12,20038,41.18,winter
71,2022-03-13,31564,27.86,winter
72,2022-03-14,64887,41.54,winter
73,2022-03-15,81016,52.88,winter
74,2022-03-16,83653,56.48,winter
75,2022-03-17,51383,46.76,winter
76,2022-03-18,95414,57.02,winter
77,2022-03-19,80328,55.58,winter
78,2022-03-20,67230,57.739998,winter
79,2022-03-21,75165,50.72,winter
80,2022-03-22,77228,51.26,winter
81,2022-03-23,62466,44.96,winter
82,2022-03-24,47181,42.260002,winter
83,2022-03-25,76978,49.28,winter
84,2022-03-26,63925,50.72,winter
85,2022-03-27,46852,42.620003,winter
86,2022-03-28,39148,29.3,winter
87,2022-03-29,49836,29.84,winter
88,2022-03-30,62875,36.68,winter
